,200,220,240,260,280,300,320,340,360,380
2,7.007949776038913e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3.032242954503772e-06,6.436957129540843e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,3.5497704315989864e-06,1.952937946358979e-06,4.77592799530413e-07,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,1.1241058335276222e-06,2.89272439890631e-07,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,5.013358774785814e-07,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,7.365153932292756e-07,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,9.860658949367718e-07,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,1.2450954502973843e-06,7.185938432074934e-07,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,8.73927637812244e-07,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,1.0321995409512397e-06,2.8696828791030526e-07,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,3.3280663702672797e-07,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,3.7919799278363087e-07,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,4.260223859242629e-07,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,4.7319208196228146e-07,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,5.206414748215593e-07,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,1.027708313339204e-06,2.9286038871756404e-07,0.0,0.0
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.46788862912473e-07,0.0,0.0
